Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2020/2021);VICTOR HUGO;11 RUE BARBETTE;3ème Ardt;75103;2020-2021;Collège;"{""coordinates"": [2.360617651550141, 48.858841087259535], ""type"": ""Point""}";48.858841087259535, 2.360617651550141
COLLEGES (année scolaire 2020/2021);GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.3703616254082545, 48.88807096328259], ""type"": ""Point""}";48.88807096328259, 2.3703616254082545
COLLEGES (année scolaire 2020/2021);JANSON DE SAILLY;106 RUE DE LA POMPE;16ème Ardt;75116;2020-2021;Collège;"{""coordinates"": [2.2794523152558988, 48.865560914141476], ""type"": ""Point""}";48.865560914141476, 2.2794523152558988
COLLEGES (année scolaire 2020/2021);CHAPTAL;45 BOULEVARD DES BATIGNOLLES;8ème Ardt;75108;2020-2021;Collège;"{""coordinates"": [2.319687602583127, 48.88173758353143], ""type"": ""Point""}";48.88173758353143, 2.319687602583127
COLLEGES (année scolaire 2020/2021);GERARD PHILIPE;8 RUE DES AMIRAUX;18ème Ardt;75118;2020-2021;Collège;"{""coordinates"": [2.351945405253571, 48.89445882794094], ""type"": ""Point""}";48.89445882794094, 2.351945405253571
COLLEGES (année scolaire 2020/2021);AUGUSTE RODIN;19 RUE CORVISART;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.347148574677879, 48.83256966693821], ""type"": ""Point""}";48.83256966693821, 2.347148574677879
COLLEGES (année scolaire 2020/2021);RAYMOND QUENEAU;66 BOULEVARD SAINT-MARCEL;5ème Ardt;75105;2020-2021;Collège;"{""coordinates"": [2.3546739157184287, 48.83789635698398], ""type"": ""Point""}";48.83789635698398, 2.3546739157184287
COLLEGES (année scolaire 2020/2021);HECTOR BERLIOZ;17 RUE GEORGETTE AGUTTE;18ème Ardt;75118;2020-2021;Collège;"{""coordinates"": [2.332815674978112, 48.89581466967536], ""type"": ""Point""}";48.89581466967536, 2.332815674978112
COLLEGES (année scolaire 2021/2022);GEORGES BRAQUE;91 RUE BRILLAT-SAVARIN;13ème Ardt;75113;2021-2022;Collège;"{""coordinates"": [2.3428861827644454, 48.82458829124478], ""type"": ""Point""}";48.82458829124478, 2.3428861827644454
COLLEGES (année scolaire 2021/2022);JULES ROMAINS;6 RUE CLER;7ème Ardt;75107;2021-2022;Collège;"{""coordinates"": [2.3054337931400832, 48.85846458255922], ""type"": ""Point""}";48.85846458255922, 2.3054337931400832
COLLEGES (année scolaire 2021/2022);ALPHONSE DAUDET;93 RUE D' ALESIA;14ème Ardt;75114;2021-2022;Collège;"{""coordinates"": [2.3259094075851534, 48.82801240851196], ""type"": ""Point""}";48.82801240851196, 2.3259094075851534
COLLEGES (année scolaire 2021/2022);CLAUDE CHAPPE;9 RUE DES ALOUETTES;19ème Ardt;75119;2021-2022;Collège;"{""coordinates"": [2.385349731136482, 48.877493391773086], ""type"": ""Point""}";48.877493391773086, 2.385349731136482
COLLEGES (année scolaire 2021/2022);CHARLEMAGNE;13 RUE CHARLEMAGNE;4ème Ardt;75104;2021-2022;Collège;"{""coordinates"": [2.3603556466085682, 48.85415628971142], ""type"": ""Point""}";48.85415628971142, 2.3603556466085682
COLLEGES (année scolaire 2022/2023);MARIE CURIE;23 RUE BOINOD;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.3507358446303632, 48.89334018854464], ""type"": ""Point""}";48.89334018854464, 2.3507358446303632
COLLEGES (année scolaire 2022/2023);EDOUARD PAILLERON;35 RUE EDOUARD PAILLERON;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.3789595976766833, 48.881293191571345], ""type"": ""Point""}";48.881293191571345, 2.3789595976766833
COLLEGES (année scolaire 2022/2023);VICTOR HUGO;11 RUE BARBETTE;3ème Ardt;75103;2022-2023;Collège;"{""coordinates"": [2.360617651550141, 48.858841087259535], ""type"": ""Point""}";48.858841087259535, 2.360617651550141
COLLEGES (année scolaire 2022/2023);ST EXUPERY;89 BOULEVARD ARAGO;14ème Ardt;75114;2022-2023;Collège;"{""coordinates"": [2.3354369048459884, 48.834349034877256], ""type"": ""Point""}";48.834349034877256, 2.3354369048459884
COLLEGES (année scolaire 2023/2024);ALBERTO GIACOMETTI;7 RUE DU CANGE;14ème Ardt;75114;2023-2024;Collège;"{""coordinates"": [2.31497156179252, 48.83426455206892], ""type"": ""Point""}";48.83426455206892, 2.31497156179252
COLLEGES (année scolaire 2024/2025);CLAUDE BERNARD;1 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2024-2025;Collège;"{""coordinates"": [2.2549423416320593, 48.84197468243493], ""type"": ""Point""}";48.84197468243493, 2.2549423416320593
COLLEGES (année scolaire 2024/2025);ALPHONSE DAUDET;93 RUE D' ALESIA;14ème Ardt;75114;2024-2025;Collège;"{""coordinates"": [2.3259094075851534, 48.82801240851196], ""type"": ""Point""}";48.82801240851196, 2.3259094075851534
COLLEGES (année scolaire 2024/2025);HONORE DE BALZAC;118 BOULEVARD BESSIERES;17ème Ardt;75117;2024-2025;Collège;"{""coordinates"": [2.3154768243409674, 48.89553072920293], ""type"": ""Point""}";48.89553072920293, 2.3154768243409674
COLLEGES (année scolaire 2024/2025);LUCIE FAURE;40 RUE DES PYRENEES;20ème Ardt;75120;2024-2025;Collège;"{""coordinates"": [2.406501323731271, 48.85090897148368], ""type"": ""Point""}";48.85090897148368, 2.406501323731271
COLLEGES (année scolaire 2024/2025);JEAN-BAPTISTE SAY;11 bis RUE D' AUTEUIL;16ème Ardt;75116;2024-2025;Collège;"{""coordinates"": [2.267323661986637, 48.847305414456955], ""type"": ""Point""}";48.847305414456955, 2.267323661986637
COLLEGES (année scolaire 2024/2025);PIERRE ALVISET;88 RUE MONGE;5ème Ardt;75105;2024-2025;Collège;"{""coordinates"": [2.3517836000159376, 48.84129470031784], ""type"": ""Point""}";48.84129470031784, 2.3517836000159376
COLLEGES (année scolaire 2025/2026);CLAUDE BERNARD;1 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2025-2026;Collège;"{""coordinates"": [2.2549423416320593, 48.84197468243493], ""type"": ""Point""}";48.84197468243493, 2.2549423416320593
COLLEGES (année scolaire 2025/2026);ANDRE MALRAUX;5 bis RUE SAINT-FERDINAND;17ème Ardt;75117;2025-2026;Collège;"{""coordinates"": [2.290514944291562, 48.87881043889032], ""type"": ""Point""}";48.87881043889032, 2.290514944291562
COLLEGES (année scolaire 2025/2026);SUZANNE LACORE;149 BOULEVARD MACDONALD;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.3788765489694663, 48.898608723283154], ""type"": ""Point""}";48.898608723283154, 2.3788765489694663
COLLEGES (année scolaire 2025/2026);BORIS VIAN;76 BOULEVARD BERTHIER;17ème Ardt;75117;2025-2026;Collège;"{""coordinates"": [2.3044618079108674, 48.890576927502146], ""type"": ""Point""}";48.890576927502146, 2.3044618079108674
COLLEGES (année scolaire 2025/2026);VOLTAIRE;101 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;2025-2026;Collège;"{""coordinates"": [2.3845254514835212, 48.86352557226195], ""type"": ""Point""}";48.86352557226195, 2.3845254514835212
COLLEGES (année scolaire 2025/2026);STEPHANE MALLARME;29 RUE DE LA JONQUIERE;17ème Ardt;75117;2025-2026;Collège;"{""coordinates"": [2.32448159826506, 48.8934820195837], ""type"": ""Point""}";48.8934820195837, 2.32448159826506
COLLEGES (année scolaire 2025/2026);OCTAVE GREARD;28 RUE DU GENERAL FOY;8ème Ardt;75108;2025-2026;Collège;"{""coordinates"": [2.3176935384015067, 48.87881482865127], ""type"": ""Point""}";48.87881482865127, 2.3176935384015067
COLLEGES (année scolaire 2025/2026);MAURICE UTRILLO;100 BOULEVARD NEY;18ème Ardt;75118;2025-2026;Collège;"{""coordinates"": [2.3447564327292643, 48.89820810689648], ""type"": ""Point""}";48.89820810689648, 2.3447564327292643
COLLEGES (année scolaire 2025/2026);FRANCOIS VILLON;10 AVENUE MARC SANGNIER;14ème Ardt;75114;2025-2026;Collège;"{""coordinates"": [2.305819984025646, 48.82622241072023], ""type"": ""Point""}";48.82622241072023, 2.305819984025646
COLLEGES (année scolaire 2025/2026);GEORGES ROUAULT;3 RUE DU NOYER-DURAND;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.3990770619653667, 48.88660919266352], ""type"": ""Point""}";48.88660919266352, 2.3990770619653667
COLLEGES (année scolaire 2020/2021);ANDRE CITROEN;208 RUE SAINT-CHARLES;15ème Ardt;75115;2020-2021;Collège;"{""coordinates"": [2.2785902524445145, 48.838859569842995], ""type"": ""Point""}";48.838859569842995, 2.2785902524445145
COLLEGES (année scolaire 2020/2021);COLETTE BESSON;9 RUE DES PANOYAUX;20ème Ardt;75120;2020-2021;Collège;"{""coordinates"": [2.3849235011315018, 48.86642227484253], ""type"": ""Point""}";48.86642227484253, 2.3849235011315018
COLLEGES (année scolaire 2020/2021);PAUL BERT;8 RUE HUYGHENS;14ème Ardt;75114;2020-2021;Collège;"{""coordinates"": [2.328851213098646, 48.84104135758076], ""type"": ""Point""}";48.84104135758076, 2.328851213098646
COLLEGES (année scolaire 2020/2021);FLORA TRISTAN;4 RUE GALLERON;20ème Ardt;75120;2020-2021;Collège;"{""coordinates"": [2.404630008354641, 48.85874304494558], ""type"": ""Point""}";48.85874304494558, 2.404630008354641
COLLEGES (année scolaire 2020/2021);ANTOINE COYSEVOX;16 RUE COYSEVOX;18ème Ardt;75118;2020-2021;Collège;"{""coordinates"": [2.3298201952433653, 48.89161762679698], ""type"": ""Point""}";48.89161762679698, 2.3298201952433653
COLLEGES (année scolaire 2021/2022);HENRI IV;23 RUE CLOVIS;5ème Ardt;75105;2021-2022;Collège;"{""coordinates"": [2.347383672470346, 48.846358092872286], ""type"": ""Point""}";48.846358092872286, 2.347383672470346
COLLEGES (année scolaire 2021/2022);ROBERT DOISNEAU;51 RUE DES PANOYAUX;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.387974290425766, 48.86707415481146], ""type"": ""Point""}";48.86707415481146, 2.387974290425766
COLLEGES (année scolaire 2021/2022);FLORA TRISTAN;4 RUE GALLERON;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.404630008354641, 48.85874304494558], ""type"": ""Point""}";48.85874304494558, 2.404630008354641
COLLEGES (année scolaire 2021/2022);EVARISTE GALOIS;11 RUE DU DOCTEUR BOURNEVILLE;13ème Ardt;75113;2021-2022;Collège;"{""coordinates"": [2.358378714817569, 48.81844173613279], ""type"": ""Point""}";48.81844173613279, 2.358378714817569
COLLEGES (année scolaire 2021/2022);ANDRE CITROEN;208 RUE SAINT-CHARLES;15ème Ardt;75115;2021-2022;Collège;"{""coordinates"": [2.2785902524445145, 48.838859569842995], ""type"": ""Point""}";48.838859569842995, 2.2785902524445145
COLLEGES (année scolaire 2021/2022);CARNOT;145 BOULEVARD MALESHERBES;17ème Ardt;75117;2021-2022;Collège;"{""coordinates"": [2.3078439600154557, 48.88447741020547], ""type"": ""Point""}";48.88447741020547, 2.3078439600154557
COLLEGES (année scolaire 2022/2023);FLORA TRISTAN;4 RUE GALLERON;20ème Ardt;75120;2022-2023;Collège;"{""coordinates"": [2.404630008354641, 48.85874304494558], ""type"": ""Point""}";48.85874304494558, 2.404630008354641
COLLEGES (année scolaire 2022/2023);GEORGES DUHAMEL;13 RUE DES VOLONTAIRES;15ème Ardt;75115;2022-2023;Collège;"{""coordinates"": [2.30723382524095, 48.84264715695299], ""type"": ""Point""}";48.84264715695299, 2.30723382524095
COLLEGES (année scolaire 2022/2023);MAURICE UTRILLO;100 BOULEVARD NEY;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.3447564327292643, 48.89820810689648], ""type"": ""Point""}";48.89820810689648, 2.3447564327292643
COLLEGES (année scolaire 2022/2023);JACQUES PREVERT;18 RUE SAINT-BENOIT;6ème Ardt;75106;2022-2023;Collège;"{""coordinates"": [2.3328455414566878, 48.85473387190791], ""type"": ""Point""}";48.85473387190791, 2.3328455414566878
COLLEGES (année scolaire 2022/2023);HELENE BOUCHER;75 COURS DE VINCENNES;20ème Ardt;75120;2022-2023;Collège;"{""coordinates"": [2.4069675330447433, 48.84781843548246], ""type"": ""Point""}";48.84781843548246, 2.4069675330447433
COLLEGES (année scolaire 2022/2023);JEAN PERRIN;6 RUE EUGENE REISZ;20ème Ardt;75120;2022-2023;Collège;"{""coordinates"": [2.411192015083835, 48.85685261667771], ""type"": ""Point""}";48.85685261667771, 2.411192015083835
COLLEGES (année scolaire 2022/2023);FRANCOISE DOLTO;354 RUE DES PYRENEES;20ème Ardt;75120;2022-2023;Collège;"{""coordinates"": [2.386914603390663, 48.87395669100666], ""type"": ""Point""}";48.87395669100666, 2.386914603390663
COLLEGES (année scolaire 2022/2023);JEAN-BAPTISTE SAY;11 bis RUE D' AUTEUIL;16ème Ardt;75116;2022-2023;Collège;"{""coordinates"": [2.267323661986637, 48.847305414456955], ""type"": ""Point""}";48.847305414456955, 2.267323661986637
COLLEGES (année scolaire 2022/2023);EDGAR VARESE;16 RUE ADOLPHE MILLE;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.388586748411057, 48.88915990325219], ""type"": ""Point""}";48.88915990325219, 2.388586748411057
COLLEGES (année scolaire 2022/2023);MOZART;7 RUE JOMARD;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.379308212552385, 48.88957595365006], ""type"": ""Point""}";48.88957595365006, 2.379308212552385
COLLEGES (année scolaire 2022/2023);GABRIEL FAURE;81 AVENUE DE CHOISY;13ème Ardt;75113;2022-2023;Collège;"{""coordinates"": [2.3614072621205247, 48.82404489633227], ""type"": ""Point""}";48.82404489633227, 2.3614072621205247
COLLEGES (année scolaire 2022/2023);ROLAND DORGELES;63 RUE DE CLIGNANCOURT;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.3478620292642036, 48.88824190894073], ""type"": ""Point""}";48.88824190894073, 2.3478620292642036
COLLEGES (année scolaire 2023/2024);CHARLES PEGUY;69 AVENUE SIMON BOLIVAR;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.3765366364279124, 48.87628979019915], ""type"": ""Point""}";48.87628979019915, 2.3765366364279124
COLLEGES (année scolaire 2023/2024);GEORGES ROUAULT;3 RUE DU NOYER-DURAND;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.3990770619653667, 48.88660919266352], ""type"": ""Point""}";48.88660919266352, 2.3990770619653667
COLLEGES (année scolaire 2023/2024);EDGAR VARESE;16 RUE ADOLPHE MILLE;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.388586748411057, 48.88915990325219], ""type"": ""Point""}";48.88915990325219, 2.388586748411057
COLLEGES (année scolaire 2023/2024);LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;2023-2024;Collège;"{""coordinates"": [2.374321375328781, 48.86823413928675], ""type"": ""Point""}";48.86823413928675, 2.374321375328781
COLLEGES (année scolaire 2024/2025);ANTOINE COYSEVOX;16 RUE COYSEVOX;18ème Ardt;75118;2024-2025;Collège;"{""coordinates"": [2.3298201952433653, 48.89161762679698], ""type"": ""Point""}";48.89161762679698, 2.3298201952433653
COLLEGES (année scolaire 2024/2025);PIERRE MENDES FRANCE;24 RUE LE VAU;20ème Ardt;75120;2024-2025;Collège;"{""coordinates"": [2.411159984926502, 48.86805832906415], ""type"": ""Point""}";48.86805832906415, 2.411159984926502
COLLEGES (année scolaire 2024/2025);BEAUMARCHAIS;124 RUE AMELOT;11ème Ardt;75111;2024-2025;Collège;"{""coordinates"": [2.3669059641720596, 48.864231545646064], ""type"": ""Point""}";48.864231545646064, 2.3669059641720596
COLLEGES (année scolaire 2024/2025);HECTOR BERLIOZ;17 RUE GEORGETTE AGUTTE;18ème Ardt;75118;2024-2025;Collège;"{""coordinates"": [2.332815674978112, 48.89581466967536], ""type"": ""Point""}";48.89581466967536, 2.332815674978112
COLLEGES (année scolaire 2024/2025);ALBERTO GIACOMETTI;7 RUE DU CANGE;14ème Ardt;75114;2024-2025;Collège;"{""coordinates"": [2.31497156179252, 48.83426455206892], ""type"": ""Point""}";48.83426455206892, 2.31497156179252
COLLEGES (année scolaire 2024/2025);CAMILLE SEE;11 RUE LEON LHERMITTE;15ème Ardt;75115;2024-2025;Collège;"{""coordinates"": [2.2969840321284276, 48.84299079681964], ""type"": ""Point""}";48.84299079681964, 2.2969840321284276
COLLEGES (année scolaire 2024/2025);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.378040375653599, 48.881137694884536], ""type"": ""Point""}";48.881137694884536, 2.378040375653599
COLLEGES (année scolaire 2025/2026);GUSTAVE FLAUBERT;82 AVENUE D' IVRY;13ème Ardt;75113;2025-2026;Collège;"{""coordinates"": [2.3626597620602254, 48.82496991497496], ""type"": ""Point""}";48.82496991497496, 2.3626597620602254
COLLEGES (année scolaire 2025/2026);GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.3703616254082545, 48.88807096328259], ""type"": ""Point""}";48.88807096328259, 2.3703616254082545
COLLEGES (année scolaire 2025/2026);FRANCOIS COUPERIN;2 ALLEE DES JUSTES DE FRANCE;4ème Ardt;75104;2025-2026;Collège;"{""coordinates"": [2.356278388990961, 48.85505968002608], ""type"": ""Point""}";48.85505968002608, 2.356278388990961
COLLEGES (année scolaire 2020/2021);FRANCOIS COUPERIN;2 ALLEE DES JUSTES DE FRANCE;4ème Ardt;75104;2020-2021;Collège;"{""coordinates"": [2.356278388990961, 48.85505968002608], ""type"": ""Point""}";48.85505968002608, 2.356278388990961
COLLEGES (année scolaire 2020/2021);FRANCOIS VILLON;10 AVENUE MARC SANGNIER;14ème Ardt;75114;2020-2021;Collège;"{""coordinates"": [2.305819984025646, 48.82622241072023], ""type"": ""Point""}";48.82622241072023, 2.305819984025646
COLLEGES (année scolaire 2020/2021);CESAR FRANCK;5 RUE DE LA JUSSIENNE;2ème Ardt;75102;2020-2021;Collège;"{""coordinates"": [2.3442026798992033, 48.86535583739994], ""type"": ""Point""}";48.86535583739994, 2.3442026798992033
COLLEGES (année scolaire 2020/2021);GUSTAVE FLAUBERT;82 AVENUE D' IVRY;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.3626597620602254, 48.82496991497496], ""type"": ""Point""}";48.82496991497496, 2.3626597620602254
COLLEGES (année scolaire 2020/2021);ALPHONSE DAUDET;93 RUE D' ALESIA;14ème Ardt;75114;2020-2021;Collège;"{""coordinates"": [2.3259094075851534, 48.82801240851196], ""type"": ""Point""}";48.82801240851196, 2.3259094075851534
COLLEGES (année scolaire 2020/2021);HENRI MATISSE;3 RUE VITRUVE;20ème Ardt;75120;2020-2021;Collège;"{""coordinates"": [2.401975118872313, 48.85645682794513], ""type"": ""Point""}";48.85645682794513, 2.401975118872313
COLLEGES (année scolaire 2020/2021);ANNE FRANK;38 RUE TROUSSEAU;11ème Ardt;75111;2020-2021;Collège;"{""coordinates"": [2.379036766249539, 48.85192514675005], ""type"": ""Point""}";48.85192514675005, 2.379036766249539
COLLEGES (année scolaire 2020/2021);LEON GAMBETTA;149 AVENUE GAMBETTA;20ème Ardt;75120;2020-2021;Collège;"{""coordinates"": [2.402724143981059, 48.869999093875464], ""type"": ""Point""}";48.869999093875464, 2.402724143981059
COLLEGES (année scolaire 2021/2022);ROGNONI;24 RUE DU CARDINAL LEMOINE;5ème Ardt;75105;2021-2022;Collège;"{""coordinates"": [2.3532818415788683, 48.84827305751572], ""type"": ""Point""}";48.84827305751572, 2.3532818415788683
COLLEGES (année scolaire 2021/2022);JEAN DE LA FONTAINE;1 PLACE DE LA PORTE MOLITOR;16ème Ardt;75116;2021-2022;Collège;"{""coordinates"": [2.2565776954864436, 48.845190601685545], ""type"": ""Point""}";48.845190601685545, 2.2565776954864436
COLLEGES (année scolaire 2021/2022);ALAIN FOURNIER;87 RUE LEON FROT;11ème Ardt;75111;2021-2022;Collège;"{""coordinates"": [2.3838537411265492, 48.85822327881152], ""type"": ""Point""}";48.85822327881152, 2.3838537411265492
COLLEGES (année scolaire 2021/2022);MOZART;7 RUE JOMARD;19ème Ardt;75119;2021-2022;Collège;"{""coordinates"": [2.379308212552385, 48.88957595365006], ""type"": ""Point""}";48.88957595365006, 2.379308212552385
COLLEGES (année scolaire 2022/2023);CAMILLE CLAUDEL;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2022-2023;Collège;"{""coordinates"": [2.3648627277329224, 48.82064046139026], ""type"": ""Point""}";48.82064046139026, 2.3648627277329224
COLLEGES (année scolaire 2022/2023);YVONNE LE TAC;7 RUE YVONNE LE TAC;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.3406539688870316, 48.88402411921948], ""type"": ""Point""}";48.88402411921948, 2.3406539688870316
COLLEGES (année scolaire 2022/2023);GUSTAVE FLAUBERT;82 AVENUE D' IVRY;13ème Ardt;75113;2022-2023;Collège;"{""coordinates"": [2.3626597620602254, 48.82496991497496], ""type"": ""Point""}";48.82496991497496, 2.3626597620602254
COLLEGES (année scolaire 2022/2023);CARNOT;145 BOULEVARD MALESHERBES;17ème Ardt;75117;2022-2023;Collège;"{""coordinates"": [2.3078439600154557, 48.88447741020547], ""type"": ""Point""}";48.88447741020547, 2.3078439600154557
COLLEGES (année scolaire 2022/2023);GEORGE SAND;159 RUE DE TOLBIAC;13ème Ardt;75113;2022-2023;Collège;"{""coordinates"": [2.3558852290755237, 48.82601379702334], ""type"": ""Point""}";48.82601379702334, 2.3558852290755237
COLLEGES (année scolaire 2022/2023);ROSE BLANCHE;101 RUE DE SAUSSURE;17ème Ardt;75117;2022-2023;Collège;"{""coordinates"": [2.310037489456155, 48.88933528450427], ""type"": ""Point""}";48.88933528450427, 2.310037489456155
COLLEGES (année scolaire 2022/2023);ANDRE CITROEN;208 RUE SAINT-CHARLES;15ème Ardt;75115;2022-2023;Collège;"{""coordinates"": [2.2785902524445145, 48.838859569842995], ""type"": ""Point""}";48.838859569842995, 2.2785902524445145
COLLEGES (année scolaire 2022/2023);DANIEL MAYER;2 PLACE HEBERT;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.363861812299952, 48.893141293813464], ""type"": ""Point""}";48.893141293813464, 2.363861812299952
COLLEGES (année scolaire 2023/2024);CLAUDE BERNARD;1 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2023-2024;Collège;"{""coordinates"": [2.2549423416320593, 48.84197468243493], ""type"": ""Point""}";48.84197468243493, 2.2549423416320593
COLLEGES (année scolaire 2023/2024);FRANCOISE SELIGMAN;21 RUE DE SAMBRE ET MEUSE;10ème Ardt;75110;2023-2024;Collège;"{""coordinates"": [2.371691242263032, 48.87485079446566], ""type"": ""Point""}";48.87485079446566, 2.371691242263032
COLLEGES (année scolaire 2023/2024);PAUL GAUGUIN;35 RUE MILTON;9ème Ardt;75109;2023-2024;Collège;"{""coordinates"": [2.3423452396970905, 48.8792307451151], ""type"": ""Point""}";48.8792307451151, 2.3423452396970905
COLLEGES (année scolaire 2023/2024);EDOUARD PAILLERON;35 RUE EDOUARD PAILLERON;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.3789595976766833, 48.881293191571345], ""type"": ""Point""}";48.881293191571345, 2.3789595976766833
COLLEGES (année scolaire 2023/2024);JEAN MOULIN;75 RUE D' ALESIA;14ème Ardt;75114;2023-2024;Collège;"{""coordinates"": [2.3283199536449017, 48.827730325591624], ""type"": ""Point""}";48.827730325591624, 2.3283199536449017
COLLEGES (année scolaire 2023/2024);PAUL BERT;8 RUE HUYGHENS;14ème Ardt;75114;2023-2024;Collège;"{""coordinates"": [2.328851213098646, 48.84104135758076], ""type"": ""Point""}";48.84104135758076, 2.328851213098646
COLLEGES (année scolaire 2023/2024);MAURICE UTRILLO;100 BOULEVARD NEY;18ème Ardt;75118;2023-2024;Collège;"{""coordinates"": [2.3447564327292643, 48.89820810689648], ""type"": ""Point""}";48.89820810689648, 2.3447564327292643
COLLEGES (année scolaire 2023/2024);VICTOR DURUY;33 BOULEVARD DES INVALIDES;7ème Ardt;75107;2023-2024;Collège;"{""coordinates"": [2.3148479397647423, 48.85230001233898], ""type"": ""Point""}";48.85230001233898, 2.3148479397647423
COLLEGES (année scolaire 2024/2025);PAUL GAUGUIN;35 RUE MILTON;9ème Ardt;75109;2024-2025;Collège;"{""coordinates"": [2.3423452396970905, 48.8792307451151], ""type"": ""Point""}";48.8792307451151, 2.3423452396970905
COLLEGES (année scolaire 2024/2025);CHARLES PEGUY;69 AVENUE SIMON BOLIVAR;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.3765366364279124, 48.87628979019915], ""type"": ""Point""}";48.87628979019915, 2.3765366364279124
COLLEGES (année scolaire 2024/2025);CLAUDE MONET;1 RUE DU DOCTEUR MAGNAN;13ème Ardt;75113;2024-2025;Collège;"{""coordinates"": [2.3623243534171525, 48.827434468723496], ""type"": ""Point""}";48.827434468723496, 2.3623243534171525
COLLEGES (année scolaire 2024/2025);FRANCOIS COUPERIN;2 ALLEE DES JUSTES DE FRANCE;4ème Ardt;75104;2024-2025;Collège;"{""coordinates"": [2.356278388990961, 48.85505968002608], ""type"": ""Point""}";48.85505968002608, 2.356278388990961
COLLEGES (année scolaire 2025/2026);EDMOND MICHELET;70 RUE DE L' OURCQ;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.376485834379865, 48.89366655755415], ""type"": ""Point""}";48.89366655755415, 2.376485834379865
COLLEGES (année scolaire 2025/2026);ALPHONSE DAUDET;93 RUE D' ALESIA;14ème Ardt;75114;2025-2026;Collège;"{""coordinates"": [2.3259094075851534, 48.82801240851196], ""type"": ""Point""}";48.82801240851196, 2.3259094075851534
COLLEGES (année scolaire 2025/2026);MARIE CURIE;23 RUE BOINOD;18ème Ardt;75118;2025-2026;Collège;"{""coordinates"": [2.3507358446303632, 48.89334018854464], ""type"": ""Point""}";48.89334018854464, 2.3507358446303632
COLLEGES (année scolaire 2025/2026);PAUL GAUGUIN;35 RUE MILTON;9ème Ardt;75109;2025-2026;Collège;"{""coordinates"": [2.3423452396970905, 48.8792307451151], ""type"": ""Point""}";48.8792307451151, 2.3423452396970905
COLLEGES (année scolaire 2025/2026);ST EXUPERY;89 BOULEVARD ARAGO;14ème Ardt;75114;2025-2026;Collège;"{""coordinates"": [2.3354369048459884, 48.834349034877256], ""type"": ""Point""}";48.834349034877256, 2.3354369048459884
COLLEGES (année scolaire 2025/2026);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2025-2026;Collège;"{""coordinates"": [2.3527133607661415, 48.82878642051567], ""type"": ""Point""}";48.82878642051567, 2.3527133607661415
COLLEGES (année scolaire 2020/2021);CONDORCET;61 RUE D' AMSTERDAM;8ème Ardt;75108;2020-2021;Collège;"{""coordinates"": [2.32697162874192, 48.88097843520577], ""type"": ""Point""}";48.88097843520577, 2.32697162874192
COLLEGES (année scolaire 2020/2021);GEORGES BRAQUE;91 RUE BRILLAT-SAVARIN;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.3428861827644454, 48.82458829124478], ""type"": ""Point""}";48.82458829124478, 2.3428861827644454
COLLEGES (année scolaire 2020/2021);STEPHANE MALLARME;29 RUE DE LA JONQUIERE;17ème Ardt;75117;2020-2021;Collège;"{""coordinates"": [2.32448159826506, 48.8934820195837], ""type"": ""Point""}";48.8934820195837, 2.32448159826506
